Serial,Type,Datetime,Data,Outlier_Flag
01749,real_time_data,2022-01-01 04:25:00,"{""datetime"": ""2022-01-01 04:25:00"", ""laeq"": 58.68, ""lafmax"": 58.98, ""la10"": 58.78, ""la90"": 58.49, ""la95"": 58.34, ""lceq"": 67.94, ""lcfmax"": 68.26, ""lc10"": 68.1, ""lc90"": 67.68, ""lc95"": 67.35}",No
01749,real_time_data,2022-01-01 04:30:00,"{""datetime"": ""2022-01-01 04:30:00"", ""laeq"": 58.6, ""lafmax"": 58.96, ""la10"": 58.72, ""la90"": 58.36, ""la95"": 58.16, ""lceq"": 67.95, ""lcfmax"": 68.27, ""lc10"": 68.13, ""lc90"": 67.54, ""lc95"": 67.18}",No
01749,real_time_data,2022-01-01 04:35:00,"{""datetime"": ""2022-01-01 04:35:00"", ""laeq"": 58.43, ""lafmax"": 58.81, ""la10"": 58.62, ""la90"": 58.16, ""la95"": 57.98, ""lceq"": 67.76, ""lcfmax"": 68.21, ""lc10"": 68.08, ""lc90"": 67.44, ""lc95"": 67.2}",No
01749,real_time_data,2022-01-01 04:40:00,"{""datetime"": ""2022-01-01 04:40:00"", ""laeq"": 58.34, ""lafmax"": 58.7, ""la10"": 58.45, ""la90"": 58.12, ""la95"": 58.04, ""lceq"": 67.75, ""lcfmax"": 68.1, ""lc10"": 67.86, ""lc90"": 67.6, ""lc95"": 67.43}",No
01749,real_time_data,2022-01-01 04:45:00,"{""datetime"": ""2022-01-01 04:45:00"", ""laeq"": 58.07, ""lafmax"": 58.57, ""la10"": 58.31, ""la90"": 57.66, ""la95"": 57.42, ""lceq"": 67.74, ""lcfmax"": 68.19, ""lc10"": 68.03, ""lc90"": 66.87, ""lc95"": 66.55}",No
01749,real_time_data,2022-01-01 04:50:00,"{""datetime"": ""2022-01-01 04:50:00"", ""laeq"": 56.09, ""lafmax"": 58.29, ""la10"": 58.07, ""la90"": 53.06, ""la95"": 53.02, ""lceq"": 64.47, ""lcfmax"": 68.15, ""lc10"": 67.95, ""lc90"": 58.21, ""lc95"": 58.08}",No
01749,real_time_data,2022-01-01 04:55:00,"{""datetime"": ""2022-01-01 04:55:00"", ""laeq"": 53.4, ""lafmax"": 53.97, ""la10"": 53.74, ""la90"": 52.92, ""la95"": 52.83, ""lceq"": 58.97, ""lcfmax"": 59.74, ""lc10"": 59.5, ""lc90"": 58.13, ""lc95"": 58.04}",No
01749,real_time_data,2022-01-01 05:00:00,"{""datetime"": ""2022-01-01 05:00:00"", ""laeq"": 49.78, ""lafmax"": 53.3, ""la10"": 52.01, ""la90"": 48.27, ""la95"": 48.13, ""lceq"": 54.14, ""lcfmax"": 59.17, ""lc10"": 56.97, ""lc90"": 51.72, ""lc95"": 51.56}",No
01749,real_time_data,2022-01-01 05:05:00,"{""datetime"": ""2022-01-01 05:05:00"", ""laeq"": 48.67, ""lafmax"": 49.48, ""la10"": 49.16, ""la90"": 48.37, ""la95"": 48.26, ""lceq"": 51.98, ""lcfmax"": 52.83, ""lc10"": 52.53, ""lc90"": 51.69, ""lc95"": 51.49}",No
01749,real_time_data,2022-01-01 05:10:00,"{""datetime"": ""2022-01-01 05:10:00"", ""laeq"": 49.76, ""lafmax"": 50.33, ""la10"": 50.06, ""la90"": 49.48, ""la95"": 48.77, ""lceq"": 53.36, ""lcfmax"": 54.12, ""lc10"": 53.83, ""lc90"": 52.92, ""lc95"": 52.1}",No
01749,real_time_data,2022-01-01 05:15:00,"{""datetime"": ""2022-01-01 05:15:00"", ""laeq"": 50.37, ""lafmax"": 50.67, ""la10"": 50.5, ""la90"": 50.22, ""la95"": 50.16, ""lceq"": 54.46, ""lcfmax"": 54.81, ""lc10"": 54.69, ""lc90"": 54.17, ""lc95"": 54.04}",No
